id,phase,priority,status,owner,action,moat,evidence,command
"GF-001","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Provision hosted staging control-plane Postgres.","Trust moat: proves fnnlr can run outside local/dev state.","Provider database URL and successful hosted health gate.",""
"GF-002","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Provision tenant database admin access for staging.","Isolation moat: DB-per-tenant cannot be claimed without live tenant DB proof.","TENANT_DB_ADMIN_URL validated by live tenant provision/delete test.",""
"GF-003","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Set CONTROL_PLANE_DATABASE_URL in the local secret pack and GitHub Actions.","Trust moat: separates product maturity from local-only evidence.","npm run gateforge:local-secret-files-check and GitHub secrets audit PASS.",""
"GF-004","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Set TENANT_DB_ADMIN_URL in the local secret pack and GitHub Actions.","Isolation moat: proves live tenant database creation and restore paths.","Hosted strict live DB tests PASS.",""
"GF-005","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Set TENANT_DB_HOST in the local secret pack and GitHub Actions.","Operational moat: makes tenant DB routing inspectable without exposing credentials.","Local secret files check reports READY.",""
"GF-006","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Create staging Sentry or equivalent error-monitoring project.","Trust moat: enterprise buyers expect runtime failure visibility.","SENTRY_DSN present and alert proof attached.",""
"GF-007","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Set SENTRY_DSN for staging.","Trust moat: converts observability from document claim to runtime signal.","Hosted strict monitoring item PASS.",""
"GF-008","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Create uptime monitor for /health.","Reliability moat: public availability proof beats feature demos.","UPTIME_HEALTHCHECK_URL and screenshot/log reference in attestation.",""
"GF-009","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Set UPTIME_HEALTHCHECK_URL.","Reliability moat: supports repeatable launch gates.","GateForge secret check READY and hosted attestation item PASS.",""
"GF-010","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Set ALERT_EMAIL_TO for staging operations.","Trust moat: makes incident ownership explicit.","Alert delivery proof in hosted evidence packet.",""
"GF-011","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Set ALERT_WEBHOOK_URL for staging alerts.","Trust moat: routes operational failures to a real response channel.","Cron/webhook failure alert proof.",""
"GF-012","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Create Resend staging key or approved transactional email provider key.","Distribution moat: email deliverability is part of activation, not a side quest.","Provider test send and DNS posture evidence.",""
"GF-013","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Set RESEND_API_KEY.","Activation moat: account and admin alerts must work in staging.","Hosted strict email readiness evidence.",""
"GF-014","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Verify sender domain and set EMAIL_FROM.","Trust moat: customers should receive branded transactional messages.","SPF/DKIM/DMARC evidence and provider verified sender.",""
"GF-015","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Set EMAIL_REPLY_TO.","Support moat: every outbound message has a human response path.","Transactional provider config proof.",""
"GF-016","GateForge GA unblock","P0","BLOCKED_EXTERNAL","Operator","Create capped Anthropic staging key.","AI safety moat: AI capability cannot outrun spend controls.","ANTHROPIC_API_KEY present with provider-side cap proof.",""
"GF-017","GateForge GA unblock","P0","READY_NOW","Engineering","Run local secret replacement packet after operator values exist.","Trust moat: no fake values enter launch evidence.","npm run gateforge:secret-replacement-packet PASS.","npm run gateforge:secret-replacement-packet"
"GF-018","GateForge GA unblock","P0","READY_NOW","Engineering","Generate hosted staging attestation packet from real evidence only.","Evidence moat: GateForge approval becomes reproducible.","hosted-staging-attestation.json validates with external-check.","npm run gateforge:external-check -- gateforge-audit/external-attestations/hosted-staging-attestation.json"
"GF-019","GateForge GA unblock","P0","READY_NOW","Engineering","Encode validated attestation as the preferred B64 secret.","Trust moat: avoids leaking packet contents while preserving machine validation.","npm run gateforge:attestation-secret-pack -- --write-b64 PASS.","npm run gateforge:attestation-secret-pack -- --write-b64"
"GF-020","GateForge GA unblock","P0","READY_NOW","Engineering","Run hosted readiness doctor.","Gate moat: one decision file says what to do next.","44_hosted_readiness_doctor.md says UPLOAD_GITHUB_SECRETS or later.","npm run gateforge:hosted-readiness-doctor"
"GF-021","GateForge GA unblock","P0","READY_NOW","Engineering","Upload local secret pack to GitHub Actions after validation.","Trust moat: hosted CI becomes the source of launch proof.","GitHub secrets audit READY.","npm run gateforge:hosted-unblock -- --apply --prepare-attestation"
"GF-022","GateForge GA unblock","P0","READY_NOW","Engineering","Trigger GateForge Hosted Staging Strict.","Evidence moat: moves from local claims to hosted proof.","Hosted strict workflow success URL.",""
"GF-023","GateForge GA unblock","P0","READY_NOW","Engineering","Run final gate and final report.","Gate moat: launch decision follows evidence, not optimism.","final-gate CONDITIONAL_GO or precise blockers.","npm run gateforge:final-gate && npm run gateforge:final-report"
"GF-024","GateForge GA unblock","P0","READY_NOW","Engineering","Refresh GA unblock status dashboard.","Operating moat: every stakeholder sees one current status.","47_ga_unblock_status.md/json updated.","npm run gateforge:ga-unblock-status"
"TR-001","Trust moat","P0","READY_NOW","Founder/legal","Mark Terms as FINAL_APPROVED or HUMAN_ATTESTATION_REQUIRED.","Trust moat: paid SaaS needs commercial clarity.","LEGAL_READINESS_STATUS updated with owner and date.",""
"TR-002","Trust moat","P0","READY_NOW","Founder/legal","Mark Privacy Policy as FINAL_APPROVED or HUMAN_ATTESTATION_REQUIRED.","Trust moat: PII handling must be explicit.","Privacy status and approval reference.",""
"TR-003","Trust moat","P0","READY_NOW","Founder/legal","Finalize DPA position.","Enterprise moat: procurement requires a data processing answer.","DPA doc or HUMAN_ATTESTATION_REQUIRED row.",""
"TR-004","Trust moat","P0","READY_NOW","Founder/legal","Publish subprocessor list.","Trust moat: integration and AI vendors become inspectable.","Subprocessor list with provider, purpose, data category.",""
"TR-005","Trust moat","P0","READY_NOW","Engineering","Publish retention and deletion policy.","Trust moat: customers know data lifecycle guarantees.","DATA_LIFECYCLE references export/delete commands.",""
"TR-006","Trust moat","P1","READY_NOW","Engineering","Add security contact and vulnerability disclosure path.","Trust moat: serious buyers need responsible disclosure.","SECURITY_TRUST_PROOF updated.",""
"TR-007","Trust moat","P1","READY_NOW","Engineering","Create trust center index linking security, privacy, DPA, retention, backup, incident response.","Trust moat: reduces sales friction with one proof packet.","docs/TRUST_CENTER_INDEX.md.",""
"TR-008","Trust moat","P1","READY_NOW","Engineering","Create public-safe backup and restore posture.","Reliability moat: proof of recoverability beats uptime claims.","BACKUP_RESTORE_RUNBOOK linked to hosted restore evidence.",""
"TR-009","Trust moat","P1","NEXT","Engineering","Add audit log viewer backlog with acceptance criteria.","Trust moat: enterprise admins buy control and traceability.","Issue/backlog item with API, UI, export acceptance.",""
"TR-010","Trust moat","P1","NEXT","Engineering","Add data export UI readiness contract with acceptance criteria.","Trust moat: data portability reduces buyer risk.","Backlog item and readiness tests linked to export-tenant command.",""
"TR-011","Trust moat","P1","NEXT","Engineering","Add deletion request workflow readiness contract.","Trust moat: legal readiness becomes an operator workflow.","Backlog item and readiness tests linked to delete-tenant proof.",""
"TR-012","Trust moat","P1","NEXT","Engineering","Create incident response exercise readiness contract.","Trust moat: incident readiness becomes repeatable.","Incident drill template, readiness tests, owner, and hosted proof gap.",""
"PK-001","SaaS packaging moat","P1","READY_NOW","Product","Freeze positioning as Arabic-first AI Revenue Operations OS.","Category moat: avoids being boxed as a generic funnel builder.","COMPETITIVE_POSITIONING updated with category statement.",""
"PK-002","SaaS packaging moat","P1","READY_NOW","Product","Define Starter plan limits.","Business moat: plan limits protect margin and simplify sales.","Pricing/limits matrix.",""
"PK-003","SaaS packaging moat","P1","READY_NOW","Product","Define Growth plan limits.","Business moat: expansion path is explicit.","Pricing/limits matrix.",""
"PK-004","SaaS packaging moat","P1","READY_NOW","Product","Define Scale plan limits.","Business moat: larger customers have a reason to upgrade.","Pricing/limits matrix.",""
"PK-005","SaaS packaging moat","P1","READY_NOW","Product","Define Enterprise custom limits and proof requirements.","Enterprise moat: procurement path is separated from self-serve.","Enterprise row in pricing/limits matrix.",""
"PK-006","SaaS packaging moat","P1","NEXT","Engineering","Map pricing limits to enforcement readiness contract.","Margin moat: plans are real only when enforced.","Limit-to-code map plus readiness tests for seats, workflows, AI spend, contacts, integrations.",""
"PK-007","SaaS packaging moat","P1","NEXT","Engineering","Add usage-limit acceptance readiness gate.","Margin moat: accidental overuse is caught before launch.","Commercial limit tests plus route-level proof gap tracking.",""
"PK-008","SaaS packaging moat","P1","READY_NOW","Sales","Create one-page sales proof pack.","Distribution moat: sales can repeat without founder improvisation.","CUSTOMER_PROOF_PACK linked from sales docs.",""
"PK-009","SaaS packaging moat","P1","READY_NOW","Sales","Create ROI calculator assumptions.","Distribution moat: buyers see payback, not feature count.","ROI assumptions in COMMERCIAL_PACKAGING.",""
"PK-010","SaaS packaging moat","P1","READY_NOW","Support","Map support SLA tiers to plans.","Trust moat: support promise matches revenue model.","SUPPORT_WORKFLOW and commercial packaging updated.",""
"WI-001","Workflow intelligence moat","P1","NEXT","Engineering","Link ai_usage_events to workflow id where available.","Data moat: AI spend becomes workflow intelligence.","Schema/API design note and tests.",""
"WI-002","Workflow intelligence moat","P1","NEXT","Engineering","Link ai_usage_events to business outcome where available.","Data moat: recommendations improve from outcomes, not prompts alone.","Outcome linkage test/backlog.",""
"WI-003","Workflow intelligence moat","P1","NEXT","Engineering","Compute cost per successful workflow action.","Margin moat: fnnlr can optimize AI cost by outcome.","Metric definition and dashboard backlog.",""
"WI-004","Workflow intelligence moat","P1","NEXT","Product","Define next-best-action v1 rules.","Workflow moat: recommendations become productized operating guidance.","Rules document with evidence inputs.",""
"WI-005","Workflow intelligence moat","P1","NEXT","Product","Define follow-up quality score.","Arabic-first moat: sales language can be scored by local norms.","Scoring rubric in docs.",""
"WI-006","Workflow intelligence moat","P2","NEXT","Product","Create lead qualification confidence rubric.","Workflow moat: CRM work becomes guided and measurable.","Rubric and test fixtures.",""
"WI-007","Workflow intelligence moat","P2","NEXT","Engineering","Add AI cost dashboard readiness and cap forecast evidence.","Margin moat: operators can see and cap AI spend.","Dashboard readiness review plus cap forecast tests.",""
"WI-008","Workflow intelligence moat","P2","NEXT","Engineering","Add tenant AI cap change forecast contract before UI implementation.","Trust moat: customers get predictable AI behavior.","Cap change forecast, approval evidence, and remaining UI gap.",""
"AC-001","Activation moat","P1","READY_NOW","Product","Define onboarding wizard steps.","Activation moat: time-to-first-value becomes engineered.","ONBOARDING_PROMISE updated with steps.",""
"AC-002","Activation moat","P1","NEXT","Engineering","Add industry selection readiness contract and event evidence.","Distribution moat: each segment gets a tailored path.","Readiness module, metrics evidence, and hosted proof gap.",""
"AC-003","Activation moat","P1","NEXT","Engineering","Add goal selection readiness contract and event evidence.","Activation moat: workflows map to customer outcomes.","Readiness module, metrics evidence, and goal mapping gap.",""
"AC-004","Activation moat","P1","NEXT","Product","Define time-to-first-workflow metric.","Activation moat: onboarding quality becomes measurable.","Metric definition with event names.",""
"AC-005","Activation moat","P1","NEXT","Product","Define time-to-first-lead-action metric.","Revenue moat: activation is tied to customer work, not login.","Metric definition with event names.",""
"AC-006","Activation moat","P1","NEXT","Engineering","Aggregate onboarding abandonment reasons into cohort review actions.","Activation moat: every failed setup trains the system.","Cohort review exposes top abandonment step/reason with owner action.",""
"AC-007","Activation moat","P2","NEXT","Product","Create onboarding recovery decision contract.","Distribution moat: reduces trial drop-off.","Recovery plan module with guarded email/support/operator triggers.",""
"AC-008","Activation moat","P2","NEXT","Support","Create evidence-gated admin onboarding checklist.","Support moat: handoff becomes repeatable.","Checklist readiness blocks closure until proof exists.",""
"DT-001","Distribution moat","P1","READY_NOW","Product","Select first ICP for launch wedge.","Distribution moat: focus beats broad generic positioning.","ICP chosen in SAAS_MOAT_ACTION_PLAN.",""
"DT-002","Distribution moat","P1","READY_NOW","Marketing","Create real-estate template brief.","MENA moat: high-fit Arabic follow-up workflows.","Industry template brief with funnel, WhatsApp, qualification, handoff.",""
"DT-003","Distribution moat","P1","READY_NOW","Marketing","Create clinic template brief.","MENA moat: appointment and follow-up workflows localize well.","Industry template brief.",""
"DT-004","Distribution moat","P1","READY_NOW","Marketing","Create education template brief.","MENA moat: admissions follow-up is repeatable.","Industry template brief.",""
"DT-005","Distribution moat","P1","READY_NOW","Marketing","Create agency template brief.","Distribution moat: agencies can resell repeatable workflows.","Industry template brief.",""
"DT-006","Distribution moat","P1","READY_NOW","Marketing","Create ecommerce template brief.","Distribution moat: abandoned lead/order workflows are measurable.","Industry template brief.",""
"DT-007","Distribution moat","P1","NEXT","Sales","Create founder-led demo readiness contract.","Distribution moat: demos become consistent and measurable.","Demo readiness review with CTA proof gap.",""
"DT-008","Distribution moat","P1","NEXT","Sales","Create objection handling readiness contract.","Distribution moat: Arabic buyer objections become reusable data.","Objection coverage blocks unsafe demo claims.",""
"DT-009","Distribution moat","P2","NEXT","Sales","Create partner agency readiness contract.","Channel moat: agencies multiply distribution without unsafe claims.","Partner brief, qualification criteria, GTM proof readiness contract, and hosted pilot evidence gap.",""
"DT-010","Distribution moat","P2","NEXT","Marketing","Create customer proof readiness contract.","Proof moat: customer evidence becomes repeatable without fake ROI.","Case-study template, customer proof pack, GTM proof readiness contract, approval gate, and hosted metric evidence gap.",""
"EN-001","Enterprise moat","P2","NEXT","Engineering","Create RBAC expansion readiness contract.","Enterprise moat: admins need granular control.","Role matrix, governance readiness tests, and route policy gaps.",""
"EN-002","Enterprise moat","P2","NEXT","Engineering","Create workspace policy readiness contract.","Enterprise moat: workspace governance supports larger accounts.","Policy acceptance criteria, governance readiness tests, and admin UI gap.",""
"EN-003","Enterprise moat","P2","NEXT","Engineering","Create audit export backlog.","Trust moat: enterprise security teams need exportable logs.","Export format and permissions spec.",""
"EN-004","Enterprise moat","P2","LATER","Engineering","Create SSO/OIDC readiness plan.","Enterprise moat: procurement path for larger buyers.","SSO readiness doc.",""
"EN-005","Enterprise moat","P2","LATER","Engineering","Create SAML backlog.","Enterprise moat: supports traditional enterprise identity.","SAML acceptance criteria.",""
"EN-006","Enterprise moat","P2","READY_NOW","Product","Define data residency position.","Enterprise moat: MENA/global readiness needs a clear answer.","Security/trust docs updated.",""
