id,phase,priority,status,owner,action,moat,evidence,command
"EN-007","Enterprise moat","P2","READY_NOW","Sales","Create procurement checklist.","Enterprise moat: sales can answer security reviews faster.","Enterprise procurement packet.",""
"EN-008","Enterprise moat","P3","LATER","Engineering","Create SOC2 readiness roadmap.","Trust moat: long-term enterprise credibility.","SOC2 roadmap with controls and evidence owners.",""
"OP-001","Operating cadence","P0","READY_NOW","Engineering","Run GateForge status after every evidence-changing change.","Operating moat: the launch gate stays current.","47_ga_unblock_status updated.","npm run gateforge:ga-unblock-status"
"OP-002","Operating cadence","P1","READY_NOW","Engineering","Run moat action plan check in CI.","Execution moat: roadmap quality is enforced.","npm run moat:check PASS.","npm run moat:check"
"OP-003","Operating cadence","P1","READY_NOW","Leadership","Review P0/P1 moat board weekly.","Operating moat: leadership attention follows blockers, not noise.","Meeting note with changed statuses.",""
"OP-004","Operating cadence","P1","NEXT","Support","Create customer health operating readiness gate.","Retention moat: support sees risk early.","Health score plus hosted issue-log evidence gap.",""
"OP-005","Operating cadence","P1","NEXT","Support","Create support triage operating readiness gate.","Support moat: support issues become product intelligence.","Support triage readiness plus P0/P1 ownership proof.",""
"OP-006","Operating cadence","P1","NEXT","Product","Create activation cohort review template.","Activation moat: cohorts reveal what is repeatable.","Template linked from operating docs.",""
"OP-007","Operating cadence","P2","NEXT","Finance/ops","Create monthly AI spend review.","Margin moat: AI cost is managed like COGS.","Monthly report template.",""
"OP-008","Operating cadence","P2","NEXT","Product","Create template performance readiness gate.","Workflow moat: templates improve from observed outcomes.","Template-loop readiness plus hosted cohort evidence gap.",""
"EX-001","Trust center execution","P1","READY_NOW","Engineering","Create trust center landing index with security, legal, data lifecycle, support, and incident links.","Trust moat: proof becomes self-serve for buyers.","docs/TRUST_CENTER_INDEX.md exists and links proof docs.",""
"EX-002","Trust center execution","P1","READY_NOW","Engineering","Add security overview summary for sales use.","Trust moat: security answers stop being improvised.","Security overview section linked from trust center.",""
"EX-003","Trust center execution","P1","READY_NOW","Founder/legal","Add legal approval tracker row for Terms.","Trust moat: legal status is explicit, not assumed.","Legal tracker shows owner, state, and evidence.",""
"EX-004","Trust center execution","P1","READY_NOW","Founder/legal","Add legal approval tracker row for Privacy.","Trust moat: privacy status is inspectable.","Legal tracker shows owner, state, and evidence.",""
"EX-005","Trust center execution","P1","READY_NOW","Founder/legal","Add legal approval tracker row for DPA.","Enterprise moat: DPA readiness is visible early.","Legal tracker shows owner, state, and evidence.",""
"EX-006","Trust center execution","P1","READY_NOW","Founder/legal","Add legal approval tracker row for subprocessors.","Trust moat: vendors and data purposes are visible.","Subprocessor row exists with evidence owner.",""
"EX-007","Trust center execution","P1","READY_NOW","Engineering","Add retention and deletion summary to trust center.","Trust moat: customer data promises are easy to verify.","Trust center links DATA_LIFECYCLE.",""
"EX-008","Trust center execution","P1","READY_NOW","Engineering","Add backup and restore summary to trust center.","Reliability moat: recoverability becomes part of sales proof.","Trust center links BACKUP_RESTORE_RUNBOOK.",""
"EX-009","Trust center execution","P1","READY_NOW","Engineering","Add incident response summary to trust center.","Trust moat: buyers can see escalation posture.","Trust center links incident/observability docs.",""
"EX-010","Trust center execution","P1","READY_NOW","Support","Add support workflow summary to trust center.","Support moat: operations maturity becomes visible.","Trust center links SUPPORT_WORKFLOW.",""
"EX-011","Commercial moat execution","P1","READY_NOW","Product","Create pricing and limits matrix document.","Business moat: packaging becomes enforceable and sellable.","docs/PRICING_AND_LIMITS_MATRIX.md.",""
"EX-012","Commercial moat execution","P1","READY_NOW","Product","Define Starter seats limit.","Margin moat: support and usage exposure are controlled.","Starter plan row has seats limit.",""
"EX-013","Commercial moat execution","P1","READY_NOW","Product","Define Starter workflows limit.","Margin moat: workflow volume maps to plan value.","Starter plan row has workflow limit.",""
"EX-014","Commercial moat execution","P1","READY_NOW","Product","Define Starter contacts limit.","Margin moat: database/storage cost is bounded.","Starter plan row has contacts limit.",""
"EX-015","Commercial moat execution","P1","READY_NOW","Product","Define Starter AI budget limit.","AI moat: value is delivered without uncontrolled COGS.","Starter plan row has AI cap.",""
"EX-016","Commercial moat execution","P1","READY_NOW","Product","Define Growth seats limit.","Business moat: upgrade path is clear.","Growth plan row has seats limit.",""
"EX-017","Commercial moat execution","P1","READY_NOW","Product","Define Growth workflows limit.","Business moat: growing usage expands revenue.","Growth plan row has workflow limit.",""
"EX-018","Commercial moat execution","P1","READY_NOW","Product","Define Growth contacts limit.","Business moat: customer scale maps to price.","Growth plan row has contacts limit.",""
"EX-019","Commercial moat execution","P1","READY_NOW","Product","Define Growth AI budget limit.","AI moat: higher value plans get higher controlled capacity.","Growth plan row has AI cap.",""
"EX-020","Commercial moat execution","P1","READY_NOW","Product","Define Scale seats limit.","Enterprise moat: larger teams have a packaged path before custom.","Scale plan row has seats limit.",""
"EX-021","Commercial moat execution","P1","READY_NOW","Product","Define Scale workflows limit.","Business moat: workflow scale becomes paid expansion.","Scale plan row has workflow limit.",""
"EX-022","Commercial moat execution","P1","READY_NOW","Product","Define Scale contacts limit.","Business moat: large databases are monetized.","Scale plan row has contacts limit.",""
"EX-023","Commercial moat execution","P1","READY_NOW","Product","Define Scale AI budget limit.","AI moat: scale value stays margin-aware.","Scale plan row has AI cap.",""
"EX-024","Commercial moat execution","P1","READY_NOW","Sales","Define Enterprise proof requirements.","Enterprise moat: custom buyers get a trust-led process.","Enterprise row lists security, legal, SLA, and procurement proof.",""
"EX-025","Commercial moat execution","P1","READY_NOW","Sales","Define paid onboarding package.","Distribution moat: activation services become repeatable revenue.","Pricing matrix includes onboarding package.",""
"EX-026","Industry template execution","P1","READY_NOW","Product","Create real-estate template brief.","Arabic-first moat: local property follow-up becomes a product asset.","docs/industry-templates/real-estate.md.",""
"EX-027","Industry template execution","P1","READY_NOW","Product","Create real-estate WhatsApp sequence.","Workflow moat: segment-specific follow-up is reusable.","Template includes WhatsApp sequence.",""
"EX-028","Industry template execution","P1","READY_NOW","Product","Create real-estate qualification rules.","Workflow moat: lead triage becomes local and repeatable.","Template includes qualification rules.",""
"EX-029","Industry template execution","P1","READY_NOW","Product","Create clinic template brief.","Arabic-first moat: appointment workflows localize strongly.","docs/industry-templates/clinics.md.",""
"EX-030","Industry template execution","P1","READY_NOW","Product","Create clinic WhatsApp sequence.","Workflow moat: appointment reminders become repeatable.","Template includes WhatsApp sequence.",""
"EX-031","Industry template execution","P1","READY_NOW","Product","Create clinic qualification rules.","Workflow moat: inquiry quality becomes measurable.","Template includes qualification rules.",""
"EX-032","Industry template execution","P1","READY_NOW","Product","Create education template brief.","Arabic-first moat: admissions workflows become a reusable wedge.","docs/industry-templates/education.md.",""
"EX-033","Industry template execution","P1","READY_NOW","Product","Create education WhatsApp sequence.","Workflow moat: admissions follow-up becomes structured.","Template includes WhatsApp sequence.",""
"EX-034","Industry template execution","P1","READY_NOW","Product","Create education qualification rules.","Workflow moat: student intent becomes measurable.","Template includes qualification rules.",""
"EX-035","Industry template execution","P1","READY_NOW","Product","Create agency template brief.","Distribution moat: agencies can resell standardized workflows.","docs/industry-templates/agencies.md.",""
"EX-036","Industry template execution","P1","READY_NOW","Product","Create agency WhatsApp sequence.","Distribution moat: agency follow-up becomes productized.","Template includes WhatsApp sequence.",""
"EX-037","Industry template execution","P1","READY_NOW","Product","Create agency qualification rules.","Distribution moat: agency pipeline hygiene becomes repeatable.","Template includes qualification rules.",""
"EX-038","Industry template execution","P1","READY_NOW","Product","Create ecommerce template brief.","Workflow moat: abandoned cart/order workflows become repeatable.","docs/industry-templates/ecommerce.md.",""
"EX-039","Industry template execution","P1","READY_NOW","Product","Create ecommerce WhatsApp sequence.","Workflow moat: commerce follow-up can be tuned by outcome.","Template includes WhatsApp sequence.",""
"EX-040","Industry template execution","P1","READY_NOW","Product","Create ecommerce qualification rules.","Workflow moat: buyer intent is scored consistently.","Template includes qualification rules.",""
"EX-041","Activation execution","P1","READY_NOW","Product","Create activation metrics spec.","Activation moat: onboarding quality becomes measurable.","docs/ACTIVATION_METRICS_SPEC.md.",""
"EX-042","Activation execution","P1","READY_NOW","Product","Define time_to_first_workflow event.","Activation moat: first value has a measurable timestamp.","Metric spec includes event definition.",""
"EX-043","Activation execution","P1","READY_NOW","Product","Define time_to_first_lead_action event.","Revenue moat: activation ties to real customer work.","Metric spec includes event definition.",""
"EX-044","Activation execution","P1","READY_NOW","Product","Define onboarding_abandoned event.","Activation moat: failures create learning data.","Metric spec includes event definition.",""
"EX-045","Activation execution","P1","READY_NOW","Product","Define template_selected event.","Workflow moat: template adoption becomes measurable.","Metric spec includes event definition.",""
"EX-046","Activation execution","P1","READY_NOW","Product","Define first_publish event.","Activation moat: launch readiness becomes measurable.","Metric spec includes event definition.",""
"EX-047","Activation execution","P1","READY_NOW","Support","Create admin onboarding checklist.","Support moat: onboarding becomes repeatable between customers.","docs/ADMIN_ONBOARDING_CHECKLIST.md.",""
"EX-048","Activation execution","P1","READY_NOW","Support","Create onboarding failure recovery checklist.","Activation moat: failed setup has a recovery path.","Checklist includes owners and triggers.",""
"EX-049","AI intelligence execution","P1","READY_NOW","Product","Create workflow intelligence spec.","Data moat: AI usage is converted into product learning.","docs/WORKFLOW_INTELLIGENCE_SPEC.md.",""
"EX-050","AI intelligence execution","P1","READY_NOW","Product","Define cost_per_workflow metric.","Margin moat: AI spend is evaluated by outcome.","Workflow intelligence spec includes metric formula.",""
"EX-051","AI intelligence execution","P1","READY_NOW","Product","Define cost_per_successful_action metric.","Margin moat: recommendations can optimize cost and impact.","Workflow intelligence spec includes metric formula.",""
"EX-052","AI intelligence execution","P1","READY_NOW","Product","Define degraded_fallback_rate metric.","Trust moat: AI degradation is visible and auditable.","Workflow intelligence spec includes metric formula.",""
"EX-053","AI intelligence execution","P1","READY_NOW","Product","Define next_best_action v1 rules.","Workflow moat: recommendations become structured operating advice.","Workflow intelligence spec includes rule table.",""
"EX-054","AI intelligence execution","P1","READY_NOW","Product","Define follow_up_quality_score rubric.","Arabic-first moat: sales language can be scored locally.","Workflow intelligence spec includes rubric.",""
"EX-055","AI intelligence execution","P1","READY_NOW","Product","Define lead_qualification_confidence rubric.","Workflow moat: qualification becomes consistent.","Workflow intelligence spec includes rubric.",""
"EX-056","AI intelligence execution","P1","READY_NOW","Engineering","Create implementation backlog for workflow id on AI usage events.","Data moat: model usage links to business workflows.","Spec includes engineering backlog row.",""
"EX-057","Sales execution","P1","READY_NOW","Sales","Create founder-led SaaS demo script.","Distribution moat: demos become repeatable.","docs/FOUNDER_LED_DEMO_SCRIPT.md.",""
"EX-058","Sales execution","P1","READY_NOW","Sales","Create Arabic objection handling library.","Distribution moat: local buyer objections become reusable playbooks.","docs/OBJECTION_HANDLING_LIBRARY.md.",""
"EX-059","Sales execution","P1","READY_NOW","Sales","Create pilot offer brief.","Distribution moat: first customers get a repeatable entry offer.","Pilot offer section in sales docs.",""
"EX-060","Sales execution","P1","READY_NOW","Sales","Create partner agency brief.","Channel moat: agencies can multiply distribution.","docs/PARTNER_AGENCY_PROGRAM.md.",""
"EX-061","Sales execution","P1","READY_NOW","Marketing","Create first case-study template.","Proof moat: customer evidence becomes structured.","docs/CASE_STUDY_TEMPLATE.md.",""
"EX-062","Sales execution","P1","READY_NOW","Marketing","Create outreach sequence for first ICP.","Distribution moat: GTM becomes testable.","docs/ICP_OUTREACH_SEQUENCE.md.",""
"EX-063","Enterprise execution","P2","READY_NOW","Engineering","Create enterprise readiness backlog.","Enterprise moat: long-term procurement work is mapped.","docs/ENTERPRISE_READINESS_BACKLOG.md.",""
"EX-064","Enterprise execution","P2","READY_NOW","Engineering","Define RBAC expansion requirements.","Enterprise moat: authorization scales beyond simple roles.","Enterprise backlog includes RBAC row.",""
"EX-065","Enterprise execution","P2","READY_NOW","Engineering","Define workspace policy requirements.","Enterprise moat: customer admins gain governance.","Enterprise backlog includes workspace policy row.",""
"EX-066","Enterprise execution","P2","READY_NOW","Engineering","Define audit export requirements.","Trust moat: enterprise customers can review activity.","Enterprise backlog includes audit export row.",""
"EX-067","Enterprise execution","P2","READY_NOW","Engineering","Define SSO/OIDC requirements.","Enterprise moat: identity readiness is planned.","Enterprise backlog includes SSO row.",""
"EX-068","Enterprise execution","P2","READY_NOW","Engineering","Define data residency position.","Enterprise moat: global SaaS buyers get a clear answer.","Enterprise backlog includes data residency row.",""
"EX-069","Enterprise execution","P2","READY_NOW","Sales","Create procurement checklist.","Enterprise moat: sales can handle security reviews faster.","docs/PROCUREMENT_CHECKLIST.md.",""
"EX-070","Enterprise execution","P2","READY_NOW","Engineering","Create SOC2 readiness outline.","Trust moat: long-term compliance path is visible.","docs/SOC2_READINESS_OUTLINE.md.",""
"EX-071","Operating execution","P1","READY_NOW","Leadership","Create weekly moat review template.","Operating moat: execution is reviewed by blockers and evidence.","docs/WEEKLY_MOAT_REVIEW_TEMPLATE.md.",""
"EX-072","Operating execution","P1","READY_NOW","Support","Create customer health score spec.","Retention moat: risk signals become operational.","docs/CUSTOMER_HEALTH_SCORE_SPEC.md.",""
"EX-073","Operating execution","P1","READY_NOW","Support","Create support triage board taxonomy.","Support moat: support issues become product signals.","docs/SUPPORT_TRIAGE_TAXONOMY.md.",""
"EX-074","Operating execution","P1","READY_NOW","Product","Create activation cohort review template.","Activation moat: repeatability is measured weekly.","docs/ACTIVATION_COHORT_REVIEW.md.",""
"EX-075","Operating execution","P1","READY_NOW","Finance/ops","Create AI spend review template.","Margin moat: AI COGS are managed continuously.","docs/AI_SPEND_REVIEW_TEMPLATE.md.",""
"EX-076","Operating execution","P1","READY_NOW","Product","Create template performance review template.","Workflow moat: templates improve from outcomes.","docs/TEMPLATE_PERFORMANCE_REVIEW.md.",""
"EX-077","Operating execution","P1","READY_NOW","Engineering","Link the 165-point moat board from the evidence index.","Operating moat: the roadmap is discoverable from the proof system.","docs/EVIDENCE_INDEX.md links SAAS_MOAT_ACTION_PLAN.",""
