Table/model/entity,Fields,Relationships,Indexes,Constraints,Sensitive data,Retention concern,File path,Risk,Recommendation
tenants,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
tenant_users,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
schema_migrations_control,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
tenant_migration_status,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
benchmark_aggregates,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
control_audit,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0001_init_control_plane.sql,Medium,Generate formal ERD and retention schedule
users,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0002_auth_workspace.sql,Medium,Generate formal ERD and retention schedule
workspaces,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0002_auth_workspace.sql,Medium,Generate formal ERD and retention schedule
workspace_members,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0002_auth_workspace.sql,Medium,Generate formal ERD and retention schedule
workspace_businesses,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0002_auth_workspace.sql,Medium,Generate formal ERD and retention schedule
sessions,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0002_auth_workspace.sql,Medium,Generate formal ERD and retention schedule
public_codes,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0003_public_codes.sql,Medium,Generate formal ERD and retention schedule
integration_routes,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/control-plane/migrations/0004_integration_routes.sql,Medium,Generate formal ERD and retention schedule
businesses,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
journeys,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
offers,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
pages,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
leads,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
conversations,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
messages,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
page_events,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
payment_states,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
events,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
leak_findings,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
ai_outputs,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
audit_events,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
schema_migrations_tenant,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0001_init_tenant_schema.sql,Medium,Generate formal ERD and retention schedule
automations,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0002_automation_engine.sql,Medium,Generate formal ERD and retention schedule
automation_runs,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0002_automation_engine.sql,Medium,Generate formal ERD and retention schedule
automation_step_logs,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0002_automation_engine.sql,Medium,Generate formal ERD and retention schedule
automation_approvals,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0002_automation_engine.sql,Medium,Generate formal ERD and retention schedule
funnel_stages,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0003_funnel_builder.sql,Medium,Generate formal ERD and retention schedule
page_sections,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0003_funnel_builder.sql,Medium,Generate formal ERD and retention schedule
whatsapp_flows,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0003_funnel_builder.sql,Medium,Generate formal ERD and retention schedule
whatsapp_message_templates,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0003_funnel_builder.sql,Medium,Generate formal ERD and retention schedule
recommendations,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0003_funnel_builder.sql,Medium,Generate formal ERD and retention schedule
tracked_links,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0003_funnel_builder.sql,Medium,Generate formal ERD and retention schedule
lead_stage_history,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0006_funnel_crm.sql,Medium,Generate formal ERD and retention schedule
lead_notes,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0006_funnel_crm.sql,Medium,Generate formal ERD and retention schedule
tasks,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0006_funnel_crm.sql,Medium,Generate formal ERD and retention schedule
payment_methods,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0008_payment_flow.sql,Medium,Generate formal ERD and retention schedule
payment_state_history,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0008_payment_flow.sql,Medium,Generate formal ERD and retention schedule
whatsapp_draft_replies,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0009_whatsapp_flow.sql,Medium,Generate formal ERD and retention schedule
action_items,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0010_reports_actions.sql,Medium,Generate formal ERD and retention schedule
reports,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0010_reports_actions.sql,Medium,Generate formal ERD and retention schedule
commands,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0011_commands.sql,Medium,Generate formal ERD and retention schedule
integration_connections,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0013_integrations.sql,Medium,Generate formal ERD and retention schedule
integration_events,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0013_integrations.sql,Medium,Generate formal ERD and retention schedule
conversation_messages,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0014_realtime_ops.sql,Medium,Generate formal ERD and retention schedule
webhook_deliveries,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0014_realtime_ops.sql,Medium,Generate formal ERD and retention schedule
repair_plans,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0015_repairs.sql,Medium,Generate formal ERD and retention schedule
repair_steps,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0015_repairs.sql,Medium,Generate formal ERD and retention schedule
repair_outcomes,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0016_repair_outcomes.sql,Medium,Generate formal ERD and retention schedule
repair_metric_snapshots,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0016_repair_outcomes.sql,Medium,Generate formal ERD and retention schedule
repair_learning_records,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0016_repair_outcomes.sql,Medium,Generate formal ERD and retention schedule
adaptive_playbooks,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0018_adaptive_playbooks.sql,Medium,Generate formal ERD and retention schedule
playbook_applications,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0018_adaptive_playbooks.sql,Medium,Generate formal ERD and retention schedule
playbook_application_plans,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0019_playbook_applications.sql,Medium,Generate formal ERD and retention schedule
playbook_application_steps,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0019_playbook_applications.sql,Medium,Generate formal ERD and retention schedule
playbook_application_outcomes,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0020_playbook_application_outcomes.sql,Medium,Generate formal ERD and retention schedule
playbook_application_learning_records,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0020_playbook_application_outcomes.sql,Medium,Generate formal ERD and retention schedule
portfolio_insights,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0021_portfolio.sql,Medium,Generate formal ERD and retention schedule
portfolio_snapshots,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0021_portfolio.sql,Medium,Generate formal ERD and retention schedule
scheduled_runs,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0022_scheduled_runs.sql,Medium,Generate formal ERD and retention schedule
scheduled_run_items,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0022_scheduled_runs.sql,Medium,Generate formal ERD and retention schedule
revenue_opportunities,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0023_revenue_opportunities.sql,Medium,Generate formal ERD and retention schedule
opportunity_status_history,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0023_revenue_opportunities.sql,Medium,Generate formal ERD and retention schedule
opportunity_outcomes,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0024_opportunity_outcomes.sql,Medium,Generate formal ERD and retention schedule
opportunity_learning_records,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0024_opportunity_outcomes.sql,Medium,Generate formal ERD and retention schedule
revenue_attributions,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0025_revenue_attributions.sql,Medium,Generate formal ERD and retention schedule
attribution_learning_records,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0025_revenue_attributions.sql,Medium,Generate formal ERD and retention schedule
action_recommendations,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0026_action_recommendations.sql,Medium,Generate formal ERD and retention schedule
recommendation_status_history,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0026_action_recommendations.sql,Medium,Generate formal ERD and retention schedule
recommendation_outcomes,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0027_recommendation_outcomes.sql,Medium,Generate formal ERD and retention schedule
recommendation_learning_records,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0027_recommendation_outcomes.sql,Medium,Generate formal ERD and retention schedule
scheduled_run_batches,See migration file,See migration constraints and service joins,See migration indexes,SQL constraints in migration,Depends on table; auth/session/lead/conversation/integration tables likely sensitive,Retention policy needed per category,packages/db/tenant/migrations/0029_scaling_operations.sql,Medium,Generate formal ERD and retention schedule
