id,status,owner,action,secret_names,provider_setup,evidence_required,validation_commands,exit_criteria,next_action
"GF-001","LOCAL_SECRET_PENDING","Operator","Provision hosted staging control-plane Postgres.","CONTROL_PLANE_DATABASE_URL","Create a hosted staging Postgres database dedicated to the control plane.","Provider database identifier and sanitized successful hosted health gate output.","npm run ci:live; npm run deploy:health-gate","Hosted control-plane database is reachable from GitHub Actions without local-only evidence.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-002","LOCAL_SECRET_PENDING","Operator","Provision tenant database admin access for staging.","TENANT_DB_ADMIN_URL","Create a hosted staging admin connection that can create/drop tenant databases.","Hosted tenant provision/delete test output and sanitized DB-per-tenant proof.","npm run test:pg; npm run deploy:verify-restore","Tenant DB creation, deletion, and isolation pass in hosted staging.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-003","LOCAL_SECRET_PENDING","Operator","Set CONTROL_PLANE_DATABASE_URL in local secret pack and GitHub Actions.","CONTROL_PLANE_DATABASE_URL","Write the staging control-plane URL to the local secret file, then upload by secret name only.","Local secret files check PASS and GitHub secret name present.","npm run gateforge:local-secret-files-check; npm run gateforge:github-secrets-audit","Secret exists locally and in GitHub without printing the value.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-004","LOCAL_SECRET_PENDING","Operator","Set TENANT_DB_ADMIN_URL in local secret pack and GitHub Actions.","TENANT_DB_ADMIN_URL","Write the staging tenant admin URL to the local secret file, then upload by secret name only.","Hosted strict live DB tests PASS.","npm run gateforge:local-secret-files-check; npm run gateforge:github-secrets-audit; npm run test:pg","Tenant admin secret is available to hosted strict checks.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-005","LOCAL_SECRET_PENDING","Operator","Set TENANT_DB_HOST in local secret pack and GitHub Actions.","TENANT_DB_HOST","Extract the staging tenant DB host from the provider without credentials.","Local secret files check READY and hosted tenant routing proof.","npm run gateforge:local-secret-files-check; npm run test:pg","Tenant DB host is present and matches the hosted tenant admin target.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-006","LOCAL_SECRET_PENDING","Operator","Create staging Sentry or equivalent error-monitoring project.","SENTRY_DSN","Create a staging error-monitoring project with alert routing enabled.","Sanitized project reference and alert proof attached to hosted attestation.","npm run deploy:health-gate","Error monitoring is a real hosted service, not a doc-only claim.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-007","LOCAL_SECRET_PENDING","Operator","Set SENTRY_DSN for staging.","SENTRY_DSN","Write the staging DSN to the local secret file, then upload it to GitHub Actions.","Hosted strict monitoring item PASS.","npm run gateforge:local-secret-files-check; npm run gateforge:github-secrets-audit; npm run deploy:health-gate","Hosted runtime can initialize observability without exposing the DSN.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-008","LOCAL_SECRET_PENDING","Operator","Create uptime monitor for /health.","UPTIME_HEALTHCHECK_URL","Create an external uptime monitor pointed at the hosted staging /health endpoint.","Monitor URL, screenshot/log reference, and successful health gate.","npm run deploy:health-gate","External uptime evidence exists outside local tests.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-009","LOCAL_SECRET_PENDING","Operator","Set UPTIME_HEALTHCHECK_URL.","UPTIME_HEALTHCHECK_URL","Write the uptime monitor URL to the local secret file, then upload it to GitHub Actions.","GateForge secret check READY and hosted attestation item PASS.","npm run gateforge:local-secret-files-check; npm run gateforge:github-secrets-audit; npm run deploy:health-gate","Hosted gate can prove the configured uptime monitor.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-010","LOCAL_SECRET_PENDING","Operator","Set ALERT_EMAIL_TO for staging operations.","ALERT_EMAIL_TO","Choose a monitored staging operations inbox.","Alert delivery proof in hosted evidence packet.","npm run deploy:health-gate","Operational alerts have a human recipient.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-011","LOCAL_SECRET_PENDING","Operator","Set ALERT_WEBHOOK_URL for staging alerts.","ALERT_WEBHOOK_URL","Create a staging alert webhook destination in the team response channel.","Cron/webhook failure alert proof.","npm run deploy:health-gate","Machine-readable alert delivery proof exists.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-012","LOCAL_SECRET_PENDING","Operator","Create Resend staging key or approved transactional email provider key.","RESEND_API_KEY","Create a staging transactional email provider key with limited scope.","Provider test send and DNS posture evidence.","npm run deploy:smoke","Transactional email provider is real and testable in staging.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-013","LOCAL_SECRET_PENDING","Operator","Set RESEND_API_KEY.","RESEND_API_KEY","Write the staging provider key to the local secret file, then upload it to GitHub Actions.","Hosted strict email readiness evidence.","npm run gateforge:local-secret-files-check; npm run gateforge:github-secrets-audit; npm run deploy:smoke","Hosted smoke can send or validate transactional email readiness.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-014","LOCAL_SECRET_PENDING","Operator","Verify sender domain and set EMAIL_FROM.","EMAIL_FROM","Verify the sender domain/address with SPF, DKIM, and DMARC evidence.","SPF/DKIM/DMARC evidence and provider verified sender.","npm run deploy:smoke","Outbound transactional messages use a verified sender.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-015","LOCAL_SECRET_PENDING","Operator","Set EMAIL_REPLY_TO.","EMAIL_REPLY_TO","Choose a monitored support or founder reply-to address.","Transactional provider config proof.","npm run deploy:smoke","Customer replies route to a monitored inbox.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
"GF-016","LOCAL_SECRET_PENDING","Operator","Create capped Anthropic staging key.","ANTHROPIC_API_KEY","Create a staging AI provider key with provider-side spend limits.","Provider-side cap proof and AI gateway hosted smoke evidence.","npm run verify:production-safety; npm run ci:live","AI provider access is capped and audited before GA.","Create or replace local staging secret files, then run npm run gateforge:local-secret-files-check."
